X,Y,Z
6.5,10.5,5.5
-2.5,-13.5,-1.5
-26.5,1.5,-0.5
21.5,10.5,-3.5
-12.5,-18.5,11.5
62.5,-22.5,7.5
-42.5,-6.5,10.5
56.5,-4.5,28.5
-38.5,-22.5,56.5
0.5,-22.5,65.5
38.5,-19.5,55.5
-18.5,-43.5,65.5
-18.5,-9.5,56.5
-42.5,-7.5,46.5
20.5,-63.5,58.5
-47.5,-27.5,43.5
-12.5,-66.5,8.5
-23.5,-93.5,-0.5
48.5,-60.5,10.5
15.5,-91.5,22.5
38.5,-73.5,6.5
29.5,-42.5,-12.5
-36.5,-76.5,-4.5
-8.5,-81.5,-4.5
-44.5,-57.5,-7.5
45.5,-61.5,43.5
-30.5,22.5,-3.5
-0.5,50.5,29.5
-48.5,34.5,-0.5
53.5,22.5,13.5
-41.5,19.5,26.5
-53.5,-49.5,43.5
44.5,-34.5,46.5
-6.5,13.5,64.5
-24.5,26.5,49.5
30.5,41.5,28.5
23.5,-9.5,-16.5
-47.5,5.5,22.5
-15.5,20.5,37.5
39.5,44.5,-0.5
-26.5,47.5,5.5
-24.5,-36.5,1.5
-8.5,-66.5,35.5
-12.5,-54.5,14.5
-2.5,35.5,2.5
-5.5,-28.5,26.5
-9.5,46.5,-10.5
-0.5,-48.5,49.5
-2.5,54.5,31.5
-30.5,-54.5,-42.5
-32.5,-79.5,-37.5
20.5,-48.5,-40.5
30.5,-63.5,-40.5
